X,Y,Z,Roll ,Pitch,Yaw
-81.25,-17.5,-1259427.467,-28.94,0,0
86.25,14.5,0.043514077,31.57,-2.21,1.56
123,-108.5,-20923.47853,25.17,-1.19,-0.97
-208.25,93.25,0.120110553,16.44,-4.38,2.41
85.75,14,0.042687557,32.21,-2.2,1.52
122.5,-108,-23036.33672,25.17,-4.32,2.16
-208,93.75,0.119935925,16.86,-1.26,-0.72
85.5,13.75,0.042831694,32.93,0.53,-1.41
123,-107.5,-22978.30741,25.23,-4.31,2.16
-208.5,93.5,0.120218236,17.1,-4.39,2.41
85.5,14,0.043484905,32.84,0.54,-1.41
123,-107.5,-22978.30741,25.23,-4.31,2.16
-208,93,0.120364244,17.46,-1.25,-0.73
-77,-19.25,0,0,0,0
-208.5,93,0.120315969,17.32,-1.27,-0.72
85.5,14.5,0.043931634,32.74,0.55,-1.41
122.5,-107.5,-23036.33672,25.17,-4.32,2.16
-208,92.75,0.12023351,17.42,-4.39,2.41
85.5,15,0.040016225,32.72,0.55,-1.41
122.5,-107.5,-31637.78116,25.14,-4.32,2.16
-208.5,92,0.119956741,16.91,-4.39,2.41
85,16.25,0.042912359,30.95,-2.35,1.59
123,-108.5,-24050.88252,25.2,-1.2,-0.97
-209,91.5,0.120357557,16.3,-4.42,2.43
85,17.25,0.039474309,33.33,0.51,-1.4
123.5,-108.5,-31602.76539,25.11,-1.2,-0.97
-208.25,91.5,0.120020518,16.29,-4.39,2.42
83.75,17.25,0.043600035,32.46,-2.23,1.52
43,-155,-35243.79637,19.34,-1.74,-0.7
81,45.75,0.059537868,25.06,-0.3,-0.97
-124.75,109.25,0.012567192,32.33,0,0
124.5,-110,-24495.87186,25.18,0,0
-207.75,91.25,0.119528762,15.99,-1.24,-0.72
81,18.5,0.03992327,33.66,0.44,-1.4
125.5,-110,-32531.88058,25.07,-1.22,-0.96
-208.5,91.75,0.118638804,16.34,-1.21,-0.74
79.75,19.25,0.037803146,33.88,0,0
126.75,-111,-39643.6305,24.92,0,0
-208,92.5,0.118090583,16.71,-4.3,2.39
76.5,19.5,0.041044547,33.17,0.41,-1.4
130,-112,-33962.00184,24.76,-1.25,-0.94
-208,93.25,0.116407155,16.89,-4.24,2.37
75,20.25,0.042387574,34.17,0.55,-1.48
130.5,-113,-32584.2465,24.59,-1.27,-0.93
-207,94,0.115513876,17.14,-4.17,2.34
-68.5,-19.5,0,0,0,0
-208.25,93.75,0.114678771,16.3,-1.09,-0.78
67,22.75,0,0,0,0
70.75,21.25,0.042514,32.94,0.35,-1.4
136,-115,-35593.02864,24.47,-4.42,2.21
-134.5,114.5,0.007875997,35.01,0.46,-1.54
134,-114.5,-81877.92577,24.39,-4.44,2.22
-134.75,114.75,0.006746597,35.01,0,0
134.75,-115,-130334.4705,24.43,0,0
-136,114.5,0.007750644,36.31,-0.64,-0.99
136,-114.75,-86281.16761,24.46,-4.43,2.22
-135,114,0.005759505,37.57,-0.46,-1.08
135,-114.5,-211233.2305,24.42,-4.43,2.22
-138.5,115.5,0.004093066,66.98,0,0
-66,-23,-139818.3475,-28.58,0,0
62,22.5,0,0,0,0
63,21.75,0,0,0,0
-127.5,-8.5,-0.205606498,2.65,-1.99,2.8
189.5,31.5,0,0,0,0
133.75,-114.5,-426785.2975,24.68,0,0
-136,115,nan,0,0,0
67.75,21.5,0.016162574,0,0,0
134.5,-113.75,-730244.0925,-20.41,0,0
-147.25,114.5,0,0,0,0
62.5,23.75,0,0,0,0
62.5,24.75,0,0,0,0
61.5,25,0,0,0,0
65.25,24,0,0,0,0
63.25,24.5,0,0,0,0
63.5,24,0,0,0,0
75.25,41.25,0.049754642,24.58,-3.48,2.19
-158.25,35.5,0,0,0,0
197.5,-88.25,-1.866205189,25.85,-0.9,-0.95
-196.5,87.5,0.115235476,15.38,-0.91,-0.87
0.5,-0.25,-0.004761003,16.88,-4.17,2.25
0.25,0.25,0.006834223,16.65,-1.06,-0.87
-0.25,0,0.001165439,16.62,-1.03,-0.88
0.5,-0.75,-0.001171341,16.59,-4.18,2.25
0,0,0,16.57,-4.19,2.25
0,-0.25,-0.002236213,16.53,-4.19,2.25
0,0,-0.001138853,16.13,-1.09,-0.87
119.5,-127.25,-2.934110277,20.51,-1.43,-0.7
0,0,0,19.3,-0.85,-0.7
76.5,40.5,0.052488876,24.79,-0.34,-0.95
0.25,-0.5,0.00016168,24.75,-3.91,2.19
-0.25,0.25,-0.000848091,24.71,-0.76,-0.95
0.25,0,-0.000158509,24.84,-0.78,-0.95
0.25,0.25,0.001387614,24.81,-0.76,-0.95
0,0.75,-0.000685145,24.74,-3.9,2.19
0.75,0.25,0.001683361,24.79,-3.9,2.19
0.25,0.25,-0.000285941,24.81,-3.89,2.18
0,0.5,0.001658066,24.85,-0.77,-0.95
0.5,-0.25,-0.000126193,24.86,-3.89,2.18
-78.5,-42,-0.110511623,19.29,-1.29,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
140,1,0.092684667,-8.93,-1.03,-0.67
1,-0.5,-0.001800476,18.73,-0.91,-0.92
0.5,0.5,0.000684567,19.31,-4,2.2
0.25,0,-0.002424555,18.99,-3.99,2.19
-0.75,0,-0.000662272,19.02,-4.03,2.21
-0.5,0,-0.004389257,18.68,-4.03,2.22
-1,0,-0.004737926,18.59,-0.91,-0.91
-1.5,0,-0.002274247,18.02,-0.95,-0.88
46.5,9.5,0,0,0,0
-78.75,-44.75,-0.123398129,19.31,-1.29,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
132.25,1.5,0.070193538,-10.44,-4.35,2.56
-2.75,0.25,-0.004226713,15.46,-4.25,2.38
58,24.75,0,0,0,0
-1.5,0.5,-0.003395272,15.19,-4.23,2.41
56,-47.5,0,0,0,0
-211.5,82,0.117561339,13.55,-1.3,-0.68
-1,0,-0.00134286,14.61,-4.23,2.46
-1.25,0.5,-0.005171184,14.03,-4.26,2.48
-1.25,1,-0.003055847,14.38,-4.27,2.49
61.5,13,0,0,0,0
77.5,54.25,0.058048499,24.7,-0.37,-0.94
0.25,1,0.000755969,24.58,-3.9,2.2
0.25,0,-0.000183904,24.71,-0.78,-0.94
0,0.5,0.000306911,24.64,-0.78,-0.94
0.25,0.5,0.000452948,24.63,-3.89,2.19
-0.25,0.25,0.001800629,24.64,-3.91,2.19
0.25,0.5,-0.000769451,24.62,-0.77,-0.94
0,0.5,0,24.58,-3.91,2.2
-0.25,0.75,0.001809679,24.63,-3.92,2.2
0.25,1,-0.001356243,24.63,-0.8,-0.92
-78.25,-59.25,-0.134911377,19.26,-1.24,-0.7
77.75,60.25,0.059495128,24.67,-0.39,-0.93
0.25,1.25,-0.000287521,24.51,-3.89,2.2
0,1,0,24.48,-3.91,2.2
0,1,0,24.46,-3.91,2.2
0.5,0.25,-0.001702232,24.5,-0.78,-0.93
-0.5,0.5,-0.000888378,24.47,-0.78,-0.93
0,0,0,24.45,-0.77,-0.93
-0.25,0,0.000183622,24.32,-3.9,2.21
-0.5,0.25,-0.001624628,24.26,-3.91,2.2
-0.25,0.25,-2.17E-05,24.38,-0.79,-0.92
-77,-64.75,-0.127275691,19.2,-1.23,-0.7
77,64.75,0.057671696,24.45,-0.39,-0.92
-0.5,0.5,-0.002352618,24.23,-3.92,2.22
0,0,0,24.23,-3.92,2.22
-0.25,-0.25,0.000906532,24.14,-3.9,2.21
-0.25,0.25,-1.88E-05,24.28,-0.8,-0.92
0,-0.25,-0.000732732,24.2,-3.91,2.22
0.25,0,0.000182165,24.21,-3.92,2.22
-0.5,0,0.000565671,24.25,-3.91,2.22
-0.25,-0.5,-0.001320961,24.17,-0.79,-0.91
0,0,0,24.19,-0.79,-0.91
-75.5,-64.5,-0.121807535,19.2,-1.22,-0.7
75.5,64.5,0.056476914,24.29,-0.42,-0.91
0,0,0,24.19,-0.79,-0.91
0,0.5,0.000298932,24.14,-0.79,-0.91
-222.5,65.25,0.116735827,6.4,-1.75,-0.43
